ID,MS_SubClass,MS_Zoning,Lot_Area,Bldg_Type,House_Style,Year_Built,Roof_Matl,Exterior_1st,Mas_Vnr_Type,Foundation,Total_Bsmt_SF,Bsmt_Fin_Pct,Heating,Central_Air,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Garage_Type,Garage_Cars,Garage_Area,Fireplaces,Pool_Area,Mo_Sold,Year_Sold,Sale_Type,Sale_Price
1,One_Story_1946_and_Newer_All_Styles,RL,31770,1FamDet,1-Story,1960,CompShg,BrkFace,Stone,CBlock,1080,59.1,GasA,Y,1656,1,0,1,0,3,7,Attchd,2,528,2,0,5,2010,WRD,215000
2,One_Story_1946_and_Newer_All_Styles,RL,11027,1FamDet,1-Story,1954,CompShg,Wd Sdng,Stone,CBlock,1178,85.4,GasA,Y,1293,1,0,2,0,2,5,Attchd,2,452,0,0,5,2006,WRD,149900
3,One_Story_1946_and_Newer_All_Styles,RL,10533,1FamDet,1-Story,1956,CompShg,VinylSd,BrkFace,CBlock,1008,76.6,GasA,Y,1024,1,0,1,0,2,5,Attchd,1,313,2,0,8,2006,WRD,157500
4,One_Story_1946_and_Newer_All_Styles,RL,11765,1FamDet,1-Story,1957,CompShg,Wd Sdng,Stone,CBlock,1617,69.6,GasA,Y,1797,0,0,1,1,3,7,Attchd,3,963,1,0,6,2006,WRD,169000
5,One_Story_1946_and_Newer_All_Styles,RH,11622,1FamDet,1-Story,1961,CompShg,VinylSd,None,CBlock,882,69.3,GasA,Y,896,0,0,1,0,2,5,Attchd,1,730,0,0,6,2010,WRD,105000
6,One_Story_1946_and_Newer_All_Styles,RL,14267,1FamDet,1-Story,1958,CompShg,Wd Sdng,BrkFace,CBlock,1329,69.4,GasA,Y,1329,0,0,1,1,3,6,Attchd,1,312,0,0,6,2010,WRD,172000
7,One_Story_1946_and_Newer_All_Styles,RL,11029,1FamDet,1-Story,1958,CompShg,MetalSd,None,CBlock,1184,79.3,GasA,Y,1414,1,0,1,0,3,6,Attchd,2,601,1,0,5,2008,WRD,176500
8,One_Story_1946_and_Newer_All_Styles,RL,11029,1FamDet,1-Story,1958,CompShg,MetalSd,None,CBlock,1184,79.3,GasA,Y,1414,1,0,1,0,3,6,Attchd,2,601,1,0,5,2008,WRD,176500
9,One_Story_1946_and_Newer_All_Styles,RL,10667,1FamDet,1-Story,1971,CompShg,MetalSd,BrkFace,CBlock,1587,52.8,GasA,Y,1587,0,0,2,0,3,7,Attchd,2,525,1,0,3,2007,WRD,167300
10,One_Story_1946_and_Newer_All_Styles,RL,10628,1FamDet,1-Story,1970,Tar&Grv,Plywood,None,CBlock,1277,60.9,GasA,Y,1277,1,0,1,0,2,5,Attchd,2,526,1,0,4,2007,WRD,167000
11,One_Story_1946_and_Newer_All_Styles,RL,11160,1FamDet,1-Story,1968,CompShg,BrkFace,None,CBlock,2110,50.4,GasA,Y,2110,1,0,2,1,3,8,Attchd,2,522,2,0,4,2010,WRD,244000
12,One_Story_1946_and_Newer_All_Styles,RL,12925,1FamDet,1-Story,1970,CompShg,BrkFace,None,CBlock,1205,71.7,GasA,Y,2117,0,0,2,1,4,7,Attchd,2,550,2,0,5,2008,WRD,237500
13,One_Story_1946_and_Newer_All_Styles,RL,12925,1FamDet,1-Story,1970,CompShg,BrkFace,None,CBlock,1205,71.7,GasA,Y,2117,0,0,2,1,4,7,Attchd,2,550,2,0,5,2008,WRD,237500
14,One_Story_1946_and_Newer_All_Styles,RL,11727,1FamDet,1-Story,1969,CompShg,HdBoard,BrkFace,CBlock,1851,0,GasA,Y,1851,0,0,2,0,3,8,Attchd,2,506,1,0,3,2006,WRD,192100
15,Two_Story_1946_and_Newer,RL,11075,1FamDet,2-Story,1969,CompShg,HdBoard,None,CBlock,952,81.5,GasA,Y,2112,0,0,2,1,4,9,Attchd,2,576,2,0,6,2008,WRD,206900
16,Two_Story_1946_and_Newer,RL,11075,1FamDet,2-Story,1969,CompShg,HdBoard,None,CBlock,952,81.5,GasA,Y,2112,0,0,2,1,4,9,Attchd,2,576,2,0,6,2008,WRD,206900
17,One_Story_1946_and_Newer_All_Styles,RL,13651,1FamDet,1-Story,1973,CompShg,Plywood,BrkFace,CBlock,2223,84.5,GasA,Y,2223,1,0,2,0,3,8,Attchd,2,516,2,0,2,2007,WRD,244000
18,Two_Story_1946_and_Newer,RL,13830,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,928,85.2,GasA,Y,1629,0,0,2,1,3,6,Attchd,2,482,1,0,3,2010,WRD,189900
19,Two_Story_1946_and_Newer,RL,9978,1FamDet,2-Story,1998,CompShg,VinylSd,BrkFace,PConc,926,65,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,470,1,0,6,2010,WRD,195500
20,Two_Story_1946_and_Newer,RL,8702,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,926,76.2,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,470,1,0,4,2008,WRD,187500
21,Two_Story_1946_and_Newer,RL,8702,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,926,76.2,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,470,1,0,4,2008,WRD,187500
22,Two_Story_1946_and_Newer,RL,8238,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,813,86.1,GasA,Y,1525,1,0,2,1,3,6,Attchd,2,400,1,0,5,2006,WRD,183500
23,Two_Story_1946_and_Newer,RL,13006,1FamDet,2-Story,1997,CompShg,HdBoard,BrkFace,PConc,964,0,GasA,Y,2236,0,0,2,1,4,8,BuiltIn,2,642,1,0,11,2006,WRD,222000
24,Two_Story_1946_and_Newer,RL,8139,1FamDet,2-Story,1995,CompShg,VinylSd,BrkFace,PConc,680,70,GasA,Y,1470,0,0,2,1,3,7,BuiltIn,2,420,1,0,10,2008,WRD,165000
25,Two_Story_1946_and_Newer,RL,8139,1FamDet,2-Story,1995,CompShg,VinylSd,BrkFace,PConc,680,70,GasA,Y,1470,0,0,2,1,3,7,BuiltIn,2,420,1,0,10,2008,WRD,165000
26,Two_Story_1946_and_Newer,RL,9535,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,926,91.9,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,472,0,0,5,2008,WRD,195500
27,Two_Story_1946_and_Newer,RL,9535,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,926,91.9,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,472,0,0,5,2008,WRD,195500
28,Two_Story_1946_and_Newer,RL,9042,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,943,87.8,GasA,Y,1638,1,0,2,1,3,7,Attchd,2,472,2,0,7,2008,WRD,192000
29,Two_Story_1946_and_Newer,RL,9042,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,943,87.8,GasA,Y,1638,1,0,2,1,3,7,Attchd,2,472,2,0,7,2008,WRD,192000
30,Two_Story_1946_and_Newer,RL,15038,1FamDet,2-Story,1996,CompShg,HdBoard,None,PConc,916,15,GasA,Y,1636,0,0,2,1,3,7,Attchd,2,386,1,0,11,2008,WRD,173000
31,Two_Story_1946_and_Newer,RL,15038,1FamDet,2-Story,1996,CompShg,HdBoard,None,PConc,916,15,GasA,Y,1636,0,0,2,1,3,7,Attchd,2,386,1,0,11,2008,WRD,173000
32,Two_Story_1946_and_Newer,RL,13041,1FamDet,2-Story,1995,CompShg,HdBoard,None,PConc,781,0,GasA,Y,1671,0,0,2,1,3,7,Attchd,2,423,1,0,2,2006,WRD,170000
33,Two_Story_1946_and_Newer,RL,13031,1FamDet,2-Story,1995,CompShg,HdBoard,None,PConc,691,85.6,GasA,Y,1498,0,0,2,1,3,6,Attchd,2,409,1,0,7,2006,WRD,187500
34,Two_Story_1946_and_Newer,RL,10364,1FamDet,2-Story,1995,CompShg,MetalSd,None,PConc,806,0,GasA,Y,1572,0,0,2,1,3,7,BuiltIn,2,373,1,0,5,2007,WRD,168000
35,One_Story_1946_and_Newer_All_Styles,RL,14137,1FamDet,1-Story,1996,CompShg,HdBoard,None,PConc,1348,33.3,GasA,Y,1384,1,0,2,0,3,7,Attchd,2,404,0,0,11,2008,WRD,177900
36,One_Story_1946_and_Newer_All_Styles,RL,14137,1FamDet,1-Story,1996,CompShg,HdBoard,None,PConc,1348,33.3,GasA,Y,1384,1,0,2,0,3,7,Attchd,2,404,0,0,11,2008,WRD,177900
37,Two_Story_1946_and_Newer,RL,9783,1FamDet,2-Story,1996,CompShg,HdBoard,None,PConc,821,0,GasA,Y,1776,0,0,2,1,3,7,BuiltIn,2,443,1,0,5,2006,WRD,202000
38,Two_Story_1946_and_Newer,RL,21872,1FamDet,2-Story,1996,CompShg,HdBoard,None,PConc,729,82.8,GasA,Y,1446,0,1,2,1,3,6,Attchd,2,406,1,0,8,2008,WRD,175000
39,Two_Story_1946_and_Newer,RL,21872,1FamDet,2-Story,1996,CompShg,HdBoard,None,PConc,729,82.8,GasA,Y,1446,0,1,2,1,3,6,Attchd,2,406,1,0,8,2008,WRD,175000
40,Two_Story_1946_and_Newer,RL,11207,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,802,89,GasA,Y,1511,1,0,2,1,3,8,Attchd,2,413,1,0,6,2006,WRD,185000
41,Two_Story_1946_and_Newer,RL,19378,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1370,0,GasA,Y,2418,0,0,2,1,4,9,Attchd,2,576,1,0,3,2006,New,320000
42,One_Story_1946_and_Newer_All_Styles,RL,14859,1FamDet,1-Story,2006,CompShg,VinylSd,BrkFace,PConc,1670,0,GasA,Y,1670,0,0,2,0,3,7,Attchd,3,690,1,0,8,2006,New,240000
43,Two_Story_1946_and_Newer,RL,13128,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1074,0,GasA,Y,2064,0,0,2,1,4,7,Attchd,2,527,1,0,1,2006,WRD,250000
44,Two_Story_1946_and_Newer,RL,10463,1FamDet,2-Story,2005,CompShg,VinylSd,None,PConc,893,0,GasA,Y,1801,0,0,2,1,3,8,Attchd,3,800,1,0,6,2006,WRD,239900
